10000 100000
5529 6059 5
9791 3902 7
5112 1712 2
9295 2433 1
6888 5175 4
3995 8723 6
6696 7572 3
832 9360 6
8153 6813 5
943 840 8
2343 2212 10
6344 7911 1
120 2452 3
1949 546 9
9525 2714 3
4257 253 3
8982 324 9
8127 7830 2
6570 4586 4
8944 2043 2
1551 6683 7
5200 3478 5
8623 6957 1
7912 5777 1
6209 2274 4
7364 8654 5
5366 6813 4
5430 1498 3
6703 4394 5
8024 3048 6
3720 5571 4
1977 348 1
5967 4838 4
526 8255 1
9304 6558 6
8477 2582 2
2580 5170 9
1437 923 1
899 1961 6
2049 4738 9
691 7193 9
9017 404 1
3405 456 1
6061 9585 4
8967 1599 7
1874 6580 2
862 2574 10
5684 8950 9
4964 4434 1
4573 9011 4
3728 6727 3
3667 8897 10
274 2220 4
3948 8715 5
4625 2387 6
6298 243 10
7444 2891 6
2109 9548 4
6313 4688 4
2405 2879 6
7795 3043 8
6559 2700 3
8788 1573 4
8368 7232 8
1982 5115 9
614 4482 7
5501 774 2
8537 8708 1
8374 1436 5
9237 7654 10
3515 2995 4
5195 5617 10
5389 8262 5
3776 1399 10
8884 2481 10
8356 9431 4
4664 6107 5
2423 8538 8
7496 1498 8
2216 1951 10
310 5901 8
6119 8785 7
7896 779 1
5439 2632 7
8167 5065 1
4736 5540 1
4836 8908 1
3465 164 4
2424 1864 1
4289 7747 4
7051 5253 3
9860 7415 9
6693 8340 8
7211 3148 1
729 3310 5
7805 7074 2
8645 6879 5
7597 7239 10
5660 2893 1
7941 3802 6
9387 6652 5
9796 6574 9
9037 3742 1
7205 528 1
7473 504 8
3443 7575 3
5268 2296 3
6648 9872 8
4552 9599 1
648 3895 1
292 6269 9
1010 1460 3
8794 9726 9
229 3144 1
3500 9083 5
4069 3872 6
1188 8190 7
8717 6390 10
692 2347 2
4634 8062 1
9125 7035 1
94 6224 1
8704 965 7
4148 3328 4
754 3283 1
258 9619 4
2043 4871 8
3588 6994 7
6925 1469 3
7472 4763 5
2440 569 3
2617 4641 9
2881 4304 4
4014 2875 5
13 542 4
3809 8115 6
7460 3831 3
9752 2558 10
6776 3884 7
1049 6469 6
3914 8044 1
2203 5187 4
6987 598 4
9747 1078 7
7591 3145 3
3207 4922 5
8511 6088 8
4993 378 8
3478 6837 3
9842 1905 10
1502 1465 6
5067 2635 10
166 9401 6
7643 2399 4
5175 9280 5
6585 446 5
5106 2762 6
3099 4799 5
6298 4816 2
8968 2073 4
242 8157 1
1401 942 5
9824 3040 7
7200 9374 10
9448 3824 2
3908 8688 3
6559 6374 2
3808 9394 2
8001 7616 6
1747 3624 9
6429 8669 8
3830 944 4
8517 9696 4
5175 2605 9
686 5886 4
2763 6515 9
3178 5560 1
261 4634 10
2751 3839 5
6286 3567 5
8919 3006 7
6174 2802 2
8278 9117 2
549 6148 10
6926 7624 8
3953 9788 4
6924 5946 1
3438 7042 1
7758 1594 3
8241 4879 8
968 6282 3
7889 4116 6
1657 6241 4
6247 4930 4
9483 4613 8
2458 930 5
957 868 5
6970 8004 4
4014 7504 10
7744 7629 3
1119 9252 9
868 791 8
2549 9120 7
2662 2794 7
7395 5177 9
3949 1884 4
9011 5632 6
3964 869 10
6342 7925 3
8628 4416 2
3642 9552 5
3593 6908 1
4727 4119 7
4086 5892 2
7462 5149 8
1285 325 2
7147 4149 6
8163 7820 9
9644 4887 9
4473 5970 4
8195 2078 8
7418 4990 4
4387 2354 1
4538 392 3
3507 6093 8
8930 726 3
3167 4061 4
7803 6287 10
1406 5555 1
5003 1933 2
9534 3944 7
9736 8872 3
5923 1315 8
5651 8045 1
6226 920 5
3506 3097 10
4323 4463 9
4821 4787 4
1434 1962 4
3579 2644 1
4023 5102 8
4925 9451 1
3337 9664 10
6857 5995 9
7532 3174 8
7554 3038 1
2551 2478 8
3553 643 4
1446 8804 4
7802 9988 6
1793 2847 7
1146 944 4
7802 5594 9
994 6222 7
1153 8550 3
7294 314 4
3828 4489 2
8664 9545 9
7948 2646 4
7469 7770 6
690 1021 7
2444 9855 1
7442 6661 5
1580 3570 7
2961 641 6
6693 9344 6
9141 9324 1
2356 7199 1
1945 789 7
5570 7331 3
2685 1665 7
8227 5065 4
9382 4775 10
2863 2271 1
1077 7482 6
6124 9256 3
5132 9246 3
6512 4486 2
7224 1333 10
2526 1617 2
4147 5130 10
3849 3014 3
2878 2142 2
778 4117 3
6227 5863 9
4651 7356 10
1114 2046 6
1730 4680 6
1347 6090 3
3862 1124 9
9625 2254 5
1287 9006 5
9101 5511 8
3140 1084 1
599 4891 7
3569 3257 10
753 4525 1
4970 6456 7
6552 4374 2
567 6114 8
1275 3795 9
8452 5612 5
9438 511 5
258 5671 8
8988 1809 4
5191 7301 10
9733 5717 8
5877 7541 7
3261 2589 6
466 4933 8
4579 5134 3
455 6292 3
9808 2166 5
3954 5270 4
8486 2457 7
621 3158 3
8762 4081 3
2886 7367 10
7238 3523 6
4722 1179 6
2747 4423 6
334 4689 6
2960 8398 2
7215 7835 3
7453 3828 1
624 7811 7
1860 7850 10
3784 3412 6
1365 9848 4
4272 2248 3
7324 3446 10
5416 8742 6
7363 223 4
3370 5683 9
9792 8358 10
1873 8705 8
6927 620 5
6179 9471 7
4544 9492 10
8524 987 7
909 1756 7
4723 2461 2
6280 8892 4
4523 9185 8
4134 1567 9
3633 6107 10
7553 6611 1
8071 6850 2
5718 2769 4
4911 9818 9
4568 4865 9
6836 1339 9
5811 6807 2
7165 139 4
6938 7594 5
3888 8097 1
8242 7431 9
5357 2693 4
3548 3418 1
4989 7223 4
7127 948 2
3414 9555 10
6473 5580 5
2918 7509 7
6230 5317 6
9094 5228 5
63 271 4
8162 8436 10
2672 3926 3
4566 2114 5
2569 8548 3
1754 6718 10
122 9216 2
7539 8011 1
8955 8027 6
6655 5966 2
4096 5992 5
9278 5139 1
5820 6972 1
552 1480 4
1066 3750 3
1761 7161 10
9641 2935 3
8516 9359 9
2131 1458 9
9667 3824 10
9127 3255 5
6350 9144 4
343 5653 9
6103 2689 4
8109 9547 10
4171 1816 1
7607 324 6
8326 8614 2
3739 7038 1
7864 598 7
3680 1045 10
7888 4475 7
1106 4423 1
6262 9936 1
3233 4481 6
6222 2668 1
1874 4857 3
536 8118 6
7500 7683 1
3014 1243 2
7012 1986 2
1142 7977 6
1800 3216 3
9913 5497 3
7113 7964 9
3408 8305 4
5570 5989 8
9503 5550 8
7347 5583 6
8095 5455 5
1120 7961 10
3473 9466 8
3877 4654 9
7044 1392 6
1713 1634 7
9501 9031 4
7821 9689 9
9313 6345 2
8742 8833 9
7066 367 1
9919 4838 3
6660 2660 5
2439 8078 6
84 7217 8
4375 4653 7
9421 4866 1
3703 8539 5
6049 6615 3
176 32 3
1073 2134 4
5846 6374 4
8041 5269 5
8008 5364 4
884 462 1
6719 8006 8
2752 9110 5
9520 4602 4
2674 6465 3
7486 6824 10
9308 4748 1
6609 6202 2
9270 3052 5
7031 3382 2
5251 4744 6
3204 2422 7
3920 6346 8
4535 886 3
7732 7823 9
9735 3480 4
5759 5313 1
6255 1715 6
9728 9121 3
8799 6664 3
5729 516 4
3968 4456 4
8927 3037 6
9891 4839 3
1308 9921 10
5644 6227 10
804 5586 7
4862 9016 8
596 2111 8
897 3981 2
6058 2434 5
4747 7237 9
1794 9974 9
6195 9893 6
3660 2391 4
6126 4107 7
7832 3694 6
668 2859 10
4544 8430 6
2848 6544 6
3840 7572 5
1629 2957 1
5469 1571 9
4615 8602 2
3767 3410 8
9827 2741 8
1470 4832 5
6826 4017 6
8137 19 6
35 59 4
683 1534 7
5908 1995 1
1379 6165 10
9544 5220 7
2610 2991 7
885 9014 2
4157 8308 2
2902 2150 7
1543 1478 7
5743 8916 10
9056 2705 7
253 7675 10
9615 5363 8
658 4905 2
9056 3151 2
5237 5869 6
849 1893 8
4973 5544 7
1080 8343 1
2904 3133 9
7928 9019 3
7040 7711 1
7218 9376 4
2230 6121 9
4734 6405 7
2106 6764 3
8460 3643 8
4114 3328 5
510 67 4
3136 8229 6
6180 9865 10
2011 9271 6
858 7867 7
7796 1592 2
550 1260 2
1702 7441 4
1756 9422 4
8590 4995 1
904 1944 8
9292 4677 5
9843 8089 6
462 9649 3
6728 3563 7
5322 8709 5
7175 3913 8
9918 9681 2
7204 7820 5
2491 8846 7
2990 1191 4
9422 590 7
9938 4392 10
8096 5924 8
8778 7884 8
22 1412 2
7025 3893 8
1533 7081 8
2909 7925 2
5300 9116 8
3890 1260 10
1660 3224 10
2953 8132 5
374 6822 3
5643 8483 9
819 4022 8
3011 7488 10
4118 9111 1
4428 1624 3
6922 7626 2
7965 2526 10
7448 1307 7
7157 883 4
5180 4069 1
7358 1639 3
3719 3840 5
9126 371 9
4611 2811 10
1756 1356 7
1595 3489 10
5073 7877 4
3722 4462 1
6155 9439 7
6258 8143 8
4606 1594 5
6508 6183 5
4869 2898 3
5706 6207 8
8689 631 6
8667 766 5
5381 9719 8
9976 2774 6
9152 4630 8
3814 8594 5
5090 5292 9
3629 1042 2
2958 8141 9
1514 8736 10
7254 8434 10
9971 1604 2
1882 4175 4
463 7748 7
6502 69 1
9058 7362 8
758 8108 8
7198 6616 10
3584 6429 9
4158 9547 4
2250 47 2
4651 2584 2
3337 8254 2
3949 4019 9
8880 1236 7
3620 9320 1
2501 4651 9
6199 5244 10
7269 2966 6
4737 8292 8
8822 5954 1
1936 669 9
7995 7687 10
7246 7902 1
9434 3377 5
4873 8639 1
5007 1929 2
2427 1081 5
5228 8097 6
7130 6103 1
3468 2204 1
6353 2932 1
335 2245 5
520 3437 1
2102 7016 9
1957 2005 8
3522 1730 1
3802 6825 6
8810 8733 10
8603 1831 6
891 625 10
3922 1325 1
1710 6461 6
8874 4894 8
4726 159 10
8171 587 8
206 7593 1
3219 6235 9
2279 9541 9
1358 1887 2
4605 594 7
9219 8795 7
5018 8177 8
6367 9770 10
898 4898 9
2383 8836 8
4296 2525 7
7323 4157 2
3778 5976 6
8996 605 2
6795 1641 8
912 9626 2
5051 2904 8
1915 7492 8
2136 7486 3
8023 1584 2
6407 1302 5
345 7946 8
6004 9769 7
3443 4757 1
584 6984 2
5247 298 6
4670 8357 1
5509 2096 6
4633 1641 5
4177 57 4
5065 2973 5
0 3307 4
273 5745 1
8728 703 5
780 793 8
2119 8824 1
2520 5670 4
8859 4729 9
4926 161 10
4362 7014 5
8603 7985 4
715 8271 7
8410 4403 10
6054 2002 8
5182 3110 1
4714 2706 6
8856 2400 1
7520 2621 1
4551 4383 6
6470 1986 2
1461 8281 10
4677 1239 4
2787 787 3
4907 9410 3
6496 8146 8
3432 8330 6
9891 2805 5
711 5201 3
3554 7917 1
3399 598 8
2249 3841 9
1541 4634 6
769 7623 3
8501 1717 6
616 9295 3
9237 7973 6
6542 28 10
8022 8346 10
2959 3204 9
7071 1643 1
4754 4932 8
4787 9036 5
3052 7353 9
819 1498 10
9197 6121 3
3992 2427 6
1480 4149 8
7311 1280 5
2390 6802 3
9184 4443 7
3064 5145 3
6437 6538 5
1270 2286 6
956 560 6
836 3602 6
1450 1955 6
7295 6090 3
6456 4018 3
6971 4468 10
8099 4427 4
5196 5421 2
3185 7996 5
303 9251 5
6843 1352 6
5864 4730 9
5650 7963 4
9614 9355 8
4233 9887 4
5103 129 3
8812 3666 8
1218 7583 1
3290 9833 2
6767 1804 2
6064 3220 2
9139 495 6
7051 9128 4
6683 5421 10
2152 4649 6
8132 6014 1
5601 5338 3
9976 1799 5
784 8964 10
8851 6355 3
2144 1475 1
5366 4264 3
8884 9181 10
952 1511 6
1803 7656 2
6270 5448 3
3330 4794 7
6565 8869 4
6428 4608 9
3252 8364 10
4161 4365 1
504 6739 7
1536 8175 3
2167 691 10
2431 7602 6
4402 5944 5
1295 5845 7
2507 7122 4
4437 6981 5
2704 1282 9
6580 6207 2
8247 2332 2
3741 7818 9
8763 3316 4
91 7103 8
475 2484 5
2956 9826 4
7419 8117 9
1084 4920 10
6229 5725 4
9818 3480 6
1833 2575 4
4975 4328 2
8437 6533 7
9304 6640 6
9989 3233 1
6624 7124 6
3040 9871 3
8450 5937 8
5261 1944 6
4705 9632 6
7297 3384 2
5965 288 7
9522 5421 4
4547 3262 9
6860 5093 1
2624 580 6
4485 2270 2
5813 9217 7
5454 1178 1
1523 2902 6
9724 6564 8
1154 8719 8
6208 2855 10
9856 5028 8
6543 716 1
5276 1072 9
7081 6875 8
7680 2255 1
2102 8793 9
9795 2126 1
2866 5169 7
5873 8535 6
7520 6077 3
6770 9059 8
4551 3879 7
6412 2484 8
4745 6391 6
8249 5238 2
9920 2456 3
8925 6226 6
5938 1360 8
4320 4551 7
3399 2879 8
3486 5555 9
9289 2363 6
9550 7291 4
6568 633 4
9330 1355 9
3969 7359 3
4570 232 8
7501 6368 7
4046 7486 9
5943 7955 1
4394 6399 2
6764 4410 2
8416 7246 10
6744 57 2
950 2392 9
2174 8658 9
3227 4547 5
3820 9984 8
1955 6010 4
2734 906 9
5186 741 5
5439 9528 8
7229 9370 10
5290 9713 7
7782 8630 2
1898 1735 5
1643 2430 2
5900 6705 9
9380 4815 8
2771 5581 5
9728 2851 5
467 3506 3
8588 1958 10
6919 4839 4
624 2861 2
7486 1112 2
9599 296 8
8030 8722 3
541 8762 7
3169 8335 8
1765 1224 2
7464 9011 10
2632 1976 4
5806 4075 10
7867 2011 7
9625 3848 7
8849 3434 9
5896 9300 5
1782 8357 5
7088 6717 9
811 5422 5
4801 6882 3
6780 7833 4
3343 9462 8
4586 7278 9
2098 6257 1
6420 5500 7
1301 2593 7
5335 2878 6
6944 8476 10
9705 6999 10
2150 5695 7
4755 6647 3
1741 7826 6
2383 8637 1
1703 919 7
5031 3496 10
6754 6274 3
8763 4518 1
1154 4811 10
2808 7272 10
3111 1807 1
7437 7471 1
1091 1493 3
303 2629 10
9476 5292 9
1430 7610 6
486 8029 3
3198 6375 7
4295 7926 4
9758 6528 10
9109 6438 2
6151 1397 5
3765 6137 9
2850 1200 8
4594 3905 3
8392 7947 9
1828 1612 3
563 479 4
4404 8270 1
8361 1368 5
6909 4289 7
5674 1815 1
5966 6996 4
3248 5255 7
3453 9297 9
8659 8351 6
1865 5128 4
2083 7177 9
6326 4511 4
5713 231 6
3836 8638 5
8201 3967 1
3827 2629 6
3361 3603 10
768 6963 4
106 2028 2
996 7154 5
3473 2168 8
1020 7756 6
504 4621 5
9600 243 2
5119 3629 4
7925 7433 3
6959 3210 7
7127 4481 5
3479 2433 2
9809 917 10
913 5040 8
5001 3459 6
2305 125 9
5783 1605 9
1030 2714 7
9563 2843 5
4568 8174 8
9012 2659 6
717 1383 9
8075 6689 3
1644 8969 1
8884 697 4
7061 4266 3
1671 9018 2
2733 9838 8
8171 7492 9
1463 2351 10
1596 8535 10
2839 6816 9
8101 9317 6
2530 3305 7
7660 9971 4
2354 363 3
3075 8853 3
9374 9598 4
4450 1900 1
9595 924 8
6027 814 3
3839 4257 4
8359 4874 2
7856 2968 9
3819 3656 2
371 9632 2
4408 458 2
9694 1733 10
2330 412 4
8802 6288 10
3628 6916 2
6217 6432 7
1397 2379 6
1073 8051 9
7802 1285 7
3746 4866 1
6385 1264 7
5095 6057 8
4049 5308 6
1020 7404 7
6726 1364 1
5464 7838 4
3437 4129 8
9568 2329 2
6850 7112 8
7055 555 9
1227 8265 5
8837 6092 10
4428 7941 9
7522 1845 4
573 1498 5
7352 392 3
6851 4151 6
3435 6982 8
1002 4344 2
7174 8696 6
9649 3029 3
1262 8607 3
6299 2393 3
419 9642 1
6155 8333 5
1761 8028 10
2012 1462 1
9194 1897 5
9128 1409 5
4875 4857 9
3541 2065 4
4367 3476 9
4691 5746 7
4660 5039 3
7685 7141 5
2859 5180 7
6426 9742 3
367 2330 10
8161 2384 8
7439 6240 4
9738 7241 5
2279 4108 1
7077 3796 3
5947 9886 6
2540 4053 5
9099 4876 5
5346 2524 2
6236 8466 4
5030 3297 9
5597 9823 10
7382 4421 4
8371 9058 3
9081 900 4
8176 7839 6
5067 5902 8
7725 8533 8
6148 8028 4
861 4147 2
7603 6169 3
7295 8129 4
1735 3812 3
2325 766 9
5213 239 2
4527 3451 8
5068 8393 10
9162 1955 2
4164 189 8
8240 2973 1
3669 9519 5
6126 4471 7
8936 7661 5
4488 9451 10
9975 5933 7
2529 567 3
2228 2823 10
9492 8751 8
6969 3658 4
7338 4379 4
7805 1886 4
624 9432 9
3083 2298 4
1214 263 5
8283 9486 1
5347 5023 2
2810 1590 9
6340 9578 6
3668 5821 10
2720 6261 6
7454 4726 6
3749 1913 10
4943 1562 4
3871 7359 2
6821 6047 1
9467 3207 10
2712 3539 7
5557 3467 6
3778 6909 1
8065 9594 2
2626 2430 7
8485 7685 3
3589 8963 4
3044 9719 4
2227 878 7
4603 463 7
3735 8323 5
2319 7368 6
9035 8451 3
1868 3735 6
9561 2019 7
4077 9202 6
3154 7435 9
9060 2676 10
3669 2069 7
5196 2908 6
519 4369 3
279 7760 7
6363 9097 9
1626 6348 10
7462 5621 5
3630 1719 4
1053 7914 2
1974 3814 9
5899 3152 9
1514 9065 3
4425 4178 2
6027 5337 4
352 5551 3
3640 7906 8
595 9550 9
4875 8328 5
9293 4562 6
9730 193 9
86 5174 6
9707 1000 1
1996 9278 3
9286 7246 2
3087 903 7
8554 7213 10
650 4441 7
8637 8931 5
2992 8270 3
6113 1526 5
4313 5846 7
6576 5415 8
6120 1599 6
2878 378 8
5403 6445 9
2675 92 7
8539 7336 5
4055 7028 10
1356 4333 8
6203 3494 9
4942 2471 4
894 9308 6
9800 6541 5
5711 9692 9
5796 7505 8
1573 9155 4
4347 7876 5
3943 6118 7
5059 288 2
5373 1050 5
403 2112 1
7848 900 2
5158 228 10
1962 1773 6
8272 3402 3
7699 9788 2
4651 8254 7
6575 2585 8
5424 6882 6
676 7642 5
4867 6922 6
1961 3109 7
35 5687 4
2951 7324 5
7335 9558 4
4304 7241 9
750 7170 1
5616 4216 3
4538 5282 10
9552 2291 7
5266 8809 4
8128 1437 10
3888 1465 2
1480 2816 2
1790 987 10
3342 1618 10
4512 7918 6
3178 6013 10
3182 8075 10
2322 4383 8
7512 7065 3
4464 6222 9
8788 8563 5
1120 1393 9
7779 8361 3
3270 8373 9
1220 1611 6
2311 726 6
9992 8879 9
7750 7408 3
1413 7369 6
1186 900 8
5687 4765 4
2976 4836 9
3319 3079 9
6795 7086 8
9244 6719 8
220 3073 1
1056 5233 3
4884 4715 10
8026 598 5
0 6389 4
1229 4167 3
37 663 8
8472 9577 8
4185 6493 3
5304 6680 10
1421 8080 2
7068 7493 1
9154 4579 10
2366 5751 1
2051 2896 9
